epoch	Bleu_1	Bleu_2	Bleu_3	Bleu_4	METEOR	ROUGE_L
0	3.3573446327683136	2.3010540618586037	1.3448701509921157	0.8237328329208932	8.715209333057787	7.128933150509967
1	4.02936402757711	2.763357806916093	1.6791687255343222	0.9199804552456834	11.605348066155702	10.14025938150588
2	23.87332159725245	19.53066015830137	12.127306211963448	6.67248705971482	22.326578380448332	49.228929329975834
3	61.612021838791364	44.935002740788136	27.571452871586423	17.65134437089952	33.20617897616051	56.51663050184421
4	30.830691746520415	24.539101146106184	13.745767965322903	7.935005495751281	26.511315970848887	50.26407533934385
5	61.280669725890505	46.43431311569048	29.60679630002776	19.285654490504854	35.76684354452961	57.70724733789374
6	67.21811027380873	52.883533780375316	38.513269898677294	28.675254795748028	39.042619085335424	61.417844562842674
7	59.44095398406333	47.80054580890656	35.51562877701976	27.163968592656246	36.29172278867559	59.817505009133676
8	61.14735556999601	50.02998386889925	37.47920694228738	29.20902809078428	37.13380947254081	60.532303650261476
9	64.09987410825343	51.02462705179084	38.084675741117636	29.132766965096863	41.84338300337018	62.29016999717386
10	70.85294919538912	57.5258907341194	44.47883575163598	35.62257741343476	41.68177877748869	65.516932770322
11	52.46621621620735	41.5557386247623	31.271815993265424	24.301209532151567	41.7679828881559	64.03637466413686
12	65.8427445130906	52.96970973973596	40.39251575841605	31.808185179382402	42.855493973494305	65.79091755758154
13	57.14814814813756	45.61230671368984	34.44918854845106	26.91693831723816	41.74715519544216	63.741873662699575
14	49.40587867416363	39.67476108884533	30.277731165616594	23.956875234231724	42.2447020135513	63.50075754703101
15	68.60053144374034	55.48826404588155	42.47870071312039	33.84111824084455	43.91956220915439	66.11462225920924
16	57.67205374976254	46.776316380482456	35.8550897609307	28.664239005437963	43.279798000887375	65.97467475154387
17	50.73101713566251	40.66439475379786	31.096696250004957	24.644246716585887	43.782068202390406	65.1547793928518
18	62.10710128054673	50.60260892363826	39.301186005164276	31.715125166834863	44.49673373188852	66.8490985082271
19	60.08705526115441	48.525560643764	37.31861296854005	30.011376608523506	43.71269445520006	66.184084512647
20	65.45002073826929	53.54189337446657	41.957507016523266	34.04664489646317	43.70288138169229	66.69880572729957
21	60.90325018895296	49.60393642492954	39.23256768154574	32.17806627873057	44.883967617582755	66.53501871258976
22	63.30806065441673	51.56015188442158	40.63141804336482	33.05491479336673	44.02261620389365	66.67696047485748
23	69.57390146469827	57.19188530867263	45.62782768694398	37.82313607679946	44.14491903478756	67.40983918991643
24	65.01616814873383	53.77115594987898	43.4509729414582	36.239270289749484	45.23824425255544	68.52601050717153
25	67.57821045721558	55.368024449881126	44.07627975066257	36.38220085583207	42.989684840281306	66.99692687340242
26	63.11393915290054	51.531646123186505	40.9209974270119	33.680860314915314	44.48675101695111	67.23837121416052
27	71.68748195450667	59.69691665836656	47.98391050060889	40.013145082255136	43.374537047041066	67.2342857711971
28	67.03758135627396	55.47462474900203	44.625688296484505	36.99410927979934	45.58939683176544	68.21155471906688
29	68.3322517845407	56.41024407938827	45.33040539144014	37.62325804289849	44.797026780814456	67.61647200367715
